id;word;word_type;severity;category;is_active;created_by;created_at;updated_at
1;殺す;partial;block;暴力;1;;2025-11-11 11:03:09;
2;死ね;partial;block;暴力;1;;2025-11-11 11:03:09;
3;バカ;partial;warn;侮辱;1;;2025-11-11 11:03:09;
4;アホ;partial;warn;侮辱;1;;2025-11-11 11:03:09;
5;自慰;partial;block;性的;1;;2025-11-11 11:06:40;
6;オナニー;partial;block;性的;1;;2025-11-11 11:06:40;
7;sex;partial;block;性的;1;;2025-11-11 11:06:40;
8;処女;partial;block;性的;1;;2025-11-11 11:06:40;
9;セックス;partial;block;性的;1;;2025-11-11 11:06:40;
10;SM;exact;block;性的;1;;2025-11-11 11:06:40;
11;セフレ;partial;block;性的;1;;2025-11-11 11:06:40;
12;不倫;partial;warn;その他;1;;2025-11-11 11:06:40;
13;巨乳;partial;block;性的;1;;2025-11-11 11:06:40;
14;フェラ;partial;block;性的;1;;2025-11-11 11:06:40;
15;パイパン;partial;block;性的;1;;2025-11-11 11:06:40;
16;AV;exact;block;性的;1;;2025-11-11 11:06:40;
17;エッチ;partial;block;性的;1;;2025-11-11 11:06:40;
18;性欲;partial;warn;性的;1;;2025-11-11 11:06:40;
19;初体験;partial;warn;性的;1;;2025-11-11 11:06:40;
20;アダルトビデオ;partial;block;性的;1;;2025-11-11 11:06:40;
21;風俗;partial;block;性的;1;;2025-11-11 11:06:40;
22;メンズエステ;partial;warn;性的;1;;2025-11-11 11:06:40;
23;自殺;partial;block;暴力;1;;2025-11-11 11:06:40;
24;うんこ;partial;warn;侮辱;1;;2025-11-11 11:06:40;
25;ええかげんにさらせ;partial;block;侮辱;1;;2025-11-11 11:06:40;
26;30～34歳女性;exact;log;その他;1;;2025-11-11 11:15:22;
27;35～39歳女性;exact;log;その他;1;;2025-11-11 11:15:22;
28;25～30歳女性;exact;log;その他;1;;2025-11-11 11:15:22;
29;20代女性限定;partial;log;その他;1;;2025-11-11 11:15:22;
30;既婚女性限定;partial;log;その他;1;;2025-11-11 11:15:22;
31;独身女性限定;partial;log;その他;1;;2025-11-11 11:15:22;
38;チン;partial;block;性的;1;;2025-11-11 11:15:22;
39;毛;exact;warn;性的;1;;2025-11-11 11:15:22;
41;H;exact;warn;性的;1;;2025-11-11 11:15:22;
42;M;exact;warn;性的;1;;2025-11-11 11:15:22;
43;体の相性;partial;warn;性的;1;;2025-11-11 11:15:22;
44;経験人数;partial;warn;性的;1;;2025-11-11 11:15:22;
45;体験人数;partial;warn;性的;1;;2025-11-11 11:15:22;
46;性癖;partial;warn;性的;1;;2025-11-11 11:15:22;
47;経験;exact;log;性的;1;;2025-11-11 11:15:22;
48;アンダーヘア;partial;warn;性的;1;;2025-11-11 11:15:22;
49;Tバック;partial;warn;性的;1;;2025-11-11 11:15:22;
50;お泊りデート;partial;log;その他;1;;2025-11-11 11:15:22;
51;お泊まり;partial;log;その他;1;;2025-11-11 11:15:22;
52;キス;partial;log;その他;1;;2025-11-11 11:15:22;
53;付き合う前;partial;log;その他;1;;2025-11-11 11:15:22;
54;レス;exact;log;その他;1;;2025-11-11 11:15:22;
55;同性愛;partial;log;その他;1;;2025-11-11 11:15:22;
56;彼氏;partial;log;その他;1;;2025-11-11 11:15:22;
57;天理教;partial;log;宗教;1;;2025-11-11 11:15:22;
58;創価学会;partial;log;宗教;1;;2025-11-11 11:15:22;
59;参議院議員;partial;log;政治;1;;2025-11-11 11:15:22;
60;橋下;partial;log;政治;1;;2025-11-11 11:15:22;
61;ドイツ;partial;log;その他;1;;2025-11-11 11:15:22;
62;ドイツ人;partial;log;その他;1;;2025-11-11 11:15:22;
63;天海;partial;log;その他;1;;2025-11-11 11:15:22;
64;篠原;partial;log;その他;1;;2025-11-11 11:15:22;
65;松本人志;partial;log;その他;1;;2025-11-11 11:15:22;
66;西村京太郎;partial;log;その他;1;;2025-11-11 11:15:22;
67;福原愛;partial;log;その他;1;;2025-11-11 11:15:22;
68;櫻坂;partial;log;その他;1;;2025-11-11 11:15:22;
69;韓国;partial;log;その他;1;;2025-11-11 11:15:22;
70;旭川;partial;log;その他;1;;2025-11-11 11:15:22;
71;23区;partial;log;その他;1;;2025-11-11 11:15:22;
72;USJ;partial;log;その他;1;;2025-11-11 11:15:22;
73;LINE;exact;log;その他;1;;2025-11-11 11:15:22;
74;youtube;partial;log;その他;1;;2025-11-11 11:15:22;
75;coke;partial;log;その他;1;;2025-11-11 11:15:22;
76;fb;exact;log;その他;1;;2025-11-11 11:15:22;
77;GOTO;exact;log;その他;1;;2025-11-11 11:15:22;
78;Wi-Fi;partial;log;その他;1;;2025-11-11 11:15:22;
79;キャリコネ;partial;log;その他;1;;2025-11-11 11:15:22;
80;削除;exact;log;その他;1;;2025-11-11 11:15:22;
81;したくない;partial;log;その他;1;;2025-11-11 11:15:22;
82;精神;partial;log;その他;1;;2025-11-11 11:15:22;
83;ルックス;partial;log;その他;1;;2025-11-11 11:15:22;
84;性格;partial;log;その他;1;;2025-11-11 11:15:22;
85;外国人;partial;log;その他;1;;2025-11-11 11:15:22;
86;ホテル;partial;log;その他;1;;2025-11-11 11:15:22;
87;美容;partial;log;その他;1;;2025-11-11 11:15:22;
88;自衛官;partial;log;その他;1;;2025-11-11 11:15:22;
89;ライブ;partial;log;その他;1;;2025-11-11 11:15:22;
90;1日;exact;log;その他;1;;2025-11-11 11:15:22;
91;5万;exact;log;その他;1;;2025-11-11 11:15:22;
92;10点;exact;log;その他;1;;2025-11-11 11:15:22;
93;理由;partial;log;その他;1;;2025-11-11 11:15:22;
94;トイレ;partial;log;その他;1;;2025-11-11 11:15:22;
95;うつ;partial;log;その他;1;;2025-11-11 11:15:22;
96;体;exact;log;その他;1;;2025-11-11 11:15:22;
97;姉;exact;log;その他;1;;2025-11-11 11:15:22;
98;兄;exact;log;その他;1;;2025-11-11 11:15:22;
99;好きですか？;partial;log;その他;1;;2025-11-11 11:15:22;
100;か？;partial;log;その他;1;;2025-11-11 11:15:22;
101;生;exact;log;その他;1;;2025-11-11 11:15:22;
102;ペット;partial;log;その他;1;;2025-11-11 11:15:22;
103;カレー;partial;log;その他;1;;2025-11-11 11:15:22;
104;ラーメン;partial;log;その他;1;;2025-11-11 11:15:22;
105;テスト;partial;log;その他;1;;2025-11-11 11:15:22;
106;クレジットカード;partial;log;その他;1;;2025-11-11 11:15:22;
107;未完;partial;log;その他;1;;2025-11-11 11:15:22;
108;大根;partial;log;その他;1;;2025-11-11 11:15:22;
109;退会;partial;log;その他;1;;2025-11-11 11:15:22;
110;AAA;exact;log;その他;1;;2025-11-11 11:15:22;
111;ワタシモ;partial;log;その他;1;;2025-11-11 11:15:22;
112;チラシ;partial;log;その他;1;;2025-11-11 11:15:22;
