id;search_keyword;search_date;search_count;unique_users;avg_result_count;created_at;updated_at
3538;TIK;2024-01-29;2;1;"0.00";2024-01-29 00:00:00;
3539;TIK;2024-02-26;1;1;"0.00";2024-02-26 00:00:00;
3540;tik;2024-05-10;1;1;"0.00";2024-05-10 00:00:00;
3541;TikTok;2023-06-14;1;1;"0.00";2023-06-14 00:00:00;
3542;TikTok;2023-11-14;1;1;"0.00";2023-11-14 00:00:00;
3543;TikTok;2024-12-05;1;1;"0.00";2024-12-05 00:00:00;
3544;Tinder;2020-09-23;1;1;"0.00";2020-09-23 00:00:00;
3545;TKG;2023-08-27;1;1;"0.00";2023-08-27 00:00:00;
3546;TM;2023-04-07;4;1;"0.00";2023-04-07 00:00:00;
3547;TOBE;2023-09-24;1;1;"0.00";2023-09-24 00:00:00;
3548;TOBE;2023-10-29;1;1;"0.00";2023-10-29 00:00:00;
3549;TOEIC;2024-03-04;1;1;"0.00";2024-03-04 00:00:00;
3550;TOKIO;2020-08-06;2;1;"0.00";2020-08-06 00:00:00;
3551;TSUTAYA;2024-01-31;1;1;"0.00";2024-01-31 00:00:00;
3552;TUTAYA;2024-01-31;1;1;"0.00";2024-01-31 00:00:00;
3553;TVer;2024-01-06;1;1;"0.00";2024-01-06 00:00:00;
3554;twitch;2022-10-26;1;1;"0.00";2022-10-26 00:00:00;
3555;Twitter;2021-01-02;1;1;"0.00";2021-01-02 00:00:00;
3556;Twitter;2021-01-06;1;1;"0.00";2021-01-06 00:00:00;
3557;Twitter;2021-01-13;1;1;"0.00";2021-01-13 00:00:00;
3558;Twitter;2021-01-26;1;1;"0.00";2021-01-26 00:00:00;
3559;Twitter;2021-02-16;1;1;"0.00";2021-02-16 00:00:00;
3560;Twitter;2021-06-23;1;1;"0.00";2021-06-23 00:00:00;
3561;Twitter;2022-08-15;1;1;"0.00";2022-08-15 00:00:00;
3562;Twitter;2022-09-22;1;1;"0.00";2022-09-22 00:00:00;
3563;Twitter;2022-11-15;1;1;"0.00";2022-11-15 00:00:00;
3564;Twitter;2022-12-27;1;1;"0.00";2022-12-27 00:00:00;
3565;Twitter;2022-12-31;1;1;"0.00";2022-12-31 00:00:00;
3566;twitter;2023-08-22;2;1;"0.00";2023-08-22 00:00:00;
3567;twitter;2023-09-12;1;1;"0.00";2023-09-12 00:00:00;
3568;twitter;2023-09-19;3;1;"0.00";2023-09-19 00:00:00;
3569;Twitter;2023-10-24;2;1;"0.00";2023-10-24 00:00:00;
