id;user_id;type;related_id;is_read;created_at
1;1;topic_comment;216751;1;2024-06-19 09:06:11
2;759;topic_comment;470862;1;2024-06-19 09:07:17
3;759;topic_comment;470862;1;2024-06-19 09:07:41
4;1;comment_reply;158551;1;2024-06-19 09:07:41
5;759;topic_comment;470846;1;2024-06-19 09:07:51
6;759;topic_comment;470862;1;2024-06-19 09:09:02
7;1873;comment_reply;158044;1;2024-06-19 09:28:59
8;33;topic_comment;464529;1;2024-06-19 09:29:51
9;19;comment_reply;158556;1;2024-06-19 09:32:02
10;39;topic_comment;470908;1;2024-06-19 10:36:46
11;759;topic_comment;470856;1;2024-06-19 10:38:35
12;759;topic_comment;470859;1;2024-06-19 10:39:39
13;759;topic_comment;470851;1;2024-06-19 10:40:42
14;759;topic_comment;469916;1;2024-06-19 10:42:53
15;1594;topic_comment;470432;1;2024-06-19 11:19:56
16;33;topic_comment;464529;1;2024-06-19 11:23:01
17;33;comment_reply;158562;1;2024-06-19 11:23:01
18;23;comment_reply;158569;1;2024-06-19 11:28:04
19;751;topic_comment;469696;1;2024-06-19 13:46:51
20;1372;topic_comment;469904;1;2024-06-19 13:48:16
21;751;topic_comment;469667;1;2024-06-19 13:49:35
22;751;topic_comment;471314;1;2024-06-19 13:51:01
23;759;topic_comment;408633;1;2024-06-19 13:52:18
24;751;topic_comment;471314;1;2024-06-19 13:59:47
25;23;topic_comment;471052;1;2024-06-19 14:02:48
26;759;topic_comment;408633;1;2024-06-19 14:04:37
27;23;topic_comment;471037;1;2024-06-19 14:06:46
28;1372;topic_comment;470941;1;2024-06-19 14:09:23
29;23;topic_comment;471037;1;2024-06-19 14:10:06
30;1372;topic_comment;470941;1;2024-06-19 14:11:21
31;1372;topic_comment;470933;1;2024-06-19 14:11:23
32;759;topic_comment;470876;1;2024-06-19 14:12:03
33;39;topic_comment;470908;1;2024-06-19 14:13:11
34;39;topic_comment;470902;1;2024-06-19 14:14:36
35;759;topic_comment;470898;1;2024-06-19 14:17:09
36;759;topic_comment;470876;1;2024-06-19 14:20:21
37;759;topic_comment;470859;1;2024-06-19 14:22:57
38;759;topic_comment;470856;1;2024-06-19 14:24:52
39;759;topic_comment;470838;1;2024-06-19 14:27:10
40;759;topic_comment;469333;1;2024-06-19 14:29:23
41;759;topic_comment;470891;1;2024-06-19 14:30:32
42;759;topic_comment;465014;1;2024-06-19 14:32:46
43;33;topic_comment;464529;1;2024-06-19 14:36:30
44;"0";comment_reply;158563;"0";2024-06-19 14:38:45
45;"0";comment_reply;158585;"0";2024-06-19 14:39:22
46;39;topic_comment;470908;1;2024-06-19 14:50:19
47;33;topic_comment;464529;1;2024-06-19 14:50:25
48;33;comment_reply;158562;1;2024-06-19 14:50:25
49;33;topic_comment;455949;1;2024-06-19 15:17:38
50;1372;topic_comment;470941;1;2024-06-19 15:20:43
51;33;topic_comment;463344;1;2024-06-19 15:22:27
52;406;topic_comment;469194;1;2024-06-19 15:26:45
53;1372;topic_comment;469208;1;2024-06-19 15:28:01
54;1372;topic_comment;469216;1;2024-06-19 15:29:44
55;1372;topic_comment;469226;1;2024-06-19 15:30:47
56;751;topic_comment;469647;1;2024-06-19 15:46:21
57;751;topic_comment;469667;1;2024-06-19 15:47:20
58;751;topic_comment;469696;1;2024-06-19 15:48:18
59;1852;topic_comment;469700;1;2024-06-19 16:01:52
60;751;topic_comment;469707;1;2024-06-19 16:02:33
61;751;topic_comment;469707;1;2024-06-19 16:07:11
62;751;topic_comment;469647;1;2024-06-19 16:08:15
63;33;topic_comment;455949;1;2024-06-19 16:46:56
64;751;topic_comment;471314;1;2024-06-19 16:56:29
65;23;topic_comment;471052;1;2024-06-19 16:58:15
66;23;topic_comment;471037;1;2024-06-19 17:00:11
67;1372;topic_comment;470941;1;2024-06-19 17:16:02
68;1372;topic_comment;469904;1;2024-06-19 17:20:55
69;1372;topic_comment;470933;1;2024-06-19 17:26:26
70;1372;topic_comment;470929;1;2024-06-19 17:35:04
71;759;topic_comment;470898;1;2024-06-19 17:38:02
72;759;topic_comment;470891;1;2024-06-19 17:39:36
73;406;topic_comment;471641;1;2024-06-19 17:51:57
74;1852;topic_comment;471675;1;2024-06-19 19:00:27
75;751;topic_comment;471314;1;2024-06-19 20:35:31
76;19;comment_reply;158635;1;2024-06-19 20:46:35
