id;post_id;random;closedate;closetime;open;rand;multi;disable_comments;vote_sum;last_updated
3;107567;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";545;2025-11-20 13:29:09
4;107569;1;"0000-00-00";"00:00:00";"0";"";"0";"0";30;2025-11-20 13:29:09
5;107571;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";209;2025-11-20 13:29:09
9;107674;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";45;2025-11-20 13:29:09
10;107721;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";67;2025-11-20 13:29:09
11;107748;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";58;2025-11-20 13:29:09
12;107762;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";26;2025-11-20 13:29:09
15;107801;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";46;2025-11-20 13:29:09
16;107813;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";37;2025-11-20 13:29:09
17;107856;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";1058;2025-11-20 13:29:09
18;107858;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";93;2025-11-20 13:29:09
19;107860;1;"0000-00-00";"00:00:00";"0";"";"0";"0";76;2025-11-20 13:29:09
20;107862;1;"0000-00-00";"00:00:00";"0";"";"0";"0";66;2025-11-20 13:29:09
21;107933;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";57;2025-11-20 13:29:09
22;107939;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";44;2025-11-20 13:29:09
24;107944;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";66;2025-11-20 13:29:09
25;107946;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";54;2025-11-20 13:29:09
26;107948;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";57;2025-11-20 13:29:09
27;107950;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";48;2025-11-20 13:29:09
28;107952;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";27;2025-11-20 13:29:09
29;107954;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";102;2025-11-20 13:29:09
31;108172;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";73;2025-11-20 13:29:09
32;108218;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";51;2025-11-20 13:29:09
33;108256;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";49;2025-11-20 13:29:09
34;108291;1;"0000-00-00";"00:00:00";"0";"";"0";"0";45;2025-11-20 13:29:09
36;108295;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";30;2025-11-20 13:29:09
38;108320;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";21;2025-11-20 13:29:09
41;108342;1;"0000-00-00";"00:00:00";"0";"";"0";"0";39;2025-11-20 13:29:09
42;108353;1;"0000-00-00";"00:00:00";"0";"";"0";"0";235;2025-11-20 13:29:09
43;108359;"0";"0000-00-00";"00:00:00";"0";"";"0";"0";453;2025-11-20 13:29:09
45;108393;1;"0000-00-00";"00:00:00";"0";"";"0";"0";92;2025-11-20 13:29:09
