id,word,word_type,severity,category,is_active,created_by,created_at,updated_at
1,殺す,partial,1,暴力,1,,2025-11-11 11:03:09+00,2025-11-11 11:03:09+00
2,死ね,partial,1,暴力,1,,2025-11-11 11:03:09+00,2025-11-11 11:03:09+00
3,バカ,partial,2,侮辱,1,,2025-11-11 11:03:09+00,2025-11-11 11:03:09+00
4,アホ,partial,2,侮辱,1,,2025-11-11 11:03:09+00,2025-11-11 11:03:09+00
5,自慰,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
6,オナニー,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
7,sex,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
8,処女,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
9,セックス,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
10,SM,exact,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
11,セフレ,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
12,不倫,partial,2,その他,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
13,巨乳,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
14,フェラ,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
15,パイパン,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
16,AV,exact,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
17,エッチ,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
18,性欲,partial,2,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
19,初体験,partial,2,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
20,アダルトビデオ,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
21,風俗,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
