id,post_id,parent_id,content,status,created_at,user_id
2825,81181,,"私だったら、許さないし、ひたすら止めます！
その状況で男性を信じる方が無理です。",approved,2025-07-03 16:28:49+00,2001
2827,81181,,"&gt;&gt;2
コメありがとうございます！
ですよね！
田舎あるあるなんでしょうか。",approved,2025-07-03 22:43:52+00,2009
2828,81181,,"不安ですね、、、。
でも付き合いならばしょうがないところもありますよね。なかなか断りづらいところもあると思います。
彼には不安なこと、ちゃんと伝えましたか？
彼の反応も気になるところです。
｢俺は誘われたら行くよ｣って言われちゃうとまた心配ですが、もし｢大丈夫、断るよ｣って言ってくれるなら、その言葉を信じてみるしかないかもしれませんね。
心配ですが頑張ってください😢",approved,2025-07-04 11:02:47+00,2010
2843,81181,,"&gt;&gt;4 
返信ありがとうございます！
ただの旅行だしそんなところは行かないよっていう反応でした。
その言葉を物理的に信じられるようにしてほしいです。
例えば15分おきに連絡くれるとか、GPSつけるとか...(笑)そんなの無理なので悩めるところです。",approved,2025-07-04 21:10:36+00,
2853,81181,,"正直に消防団の人と旅行に行くと言ってるんだから、その先散策する必要ないんじゃない？
結婚してもお互い未知の部分はあって然るべきです。それがない関係なら、束縛しているからに他なりません。",approved,2025-07-05 00:23:45+00,
2869,81181,,"&gt;&gt;6 
コメありがとうございます。
浮気も不倫もバレなければ許せるタイプですか？",approved,2025-07-05 21:59:55+00,2003
2873,81181,,"&gt;&gt;7
バレていない時点で許すも何もないですね。まだ起きていないことにあれこれ許す許さないと悩むことは時間の浪費かと思っているだけです。",approved,2025-07-06 02:25:36+00,2003
2877,81181,,"&gt;&gt;8 
風俗に行っていたら100％証拠を見つける自信があるのですが、もし旅行先で風俗に行っていたことを知ったらどうされますか？",approved,2025-07-06 11:14:03+00,2005
2878,81181,,"&gt;&gt;9 
知ったら怒りますが、知らないうちは何も怒りや不安の感情は起こりません。",approved,2025-07-06 12:26:13+00,
2882,81181,,"&gt;&gt;10 
そうなのですね！
予防などもされませんか？",approved,2025-07-06 16:24:26+00,2010
2883,81181,,"&gt;&gt;11 
予防とは相手を旦那に遊ばせない防御という意味でしょうか？
そうであれば、別に旅行でなくて日常で遊ぶことはいくらでもできると思いますので、いちいち考えたらキリがないですね。",approved,2025-07-06 18:00:45+00,964
2886,81181,,"&gt;&gt;12 
分かりました！
ありがとうございました(&gt;_&lt;)",approved,2025-07-07 07:58:54+00,2007
2911,81181,,">>13 
消防さんにはぜひ幸せになって欲しいと思います。信じる方法の信じる対象は、自分しかないと私は思っています。",approved,2025-07-09 13:54:54+00,2003
2957,81181,,"&gt;&gt;14 
ありがとうございます。
信じきって裏切られた時に
傷つくのが怖いのだと思います。
でも信じてみます！",approved,2025-07-11 20:20:00+00,
